ESC signal (µs),Thrust (kgf),Thrust (N),Norm RPM^2,RPM,Voltage (V),Current (A)
1000,0,0.00,0.00,0,100.73,0
1000,0,0.00,0.00,0,100.73,0
1000,0,0.00,0.00,0,100.73,0
1000,0,0.00,0.00,0,100.73,0
1000,0,0.00,0.00,0,100.73,0
1000,0,0.00,0.00,0,100.73,0
1000,0,0.00,0.00,0,100.73,0
1010,0,0.00,0.00,0,100.73,0
1010,0,0.00,0.00,0,100.73,0
1010,0,0.00,0.00,0,100.72,0
1010,0,0.00,0.00,0,100.72,0
1010,0,0.00,0.00,0,100.73,0
1010,0,0.00,0.00,0,100.73,0
1010,0,0.00,0.00,0,100.73,0
1010,0,0.00,0.00,0,100.73,0
1010,0,0.00,0.00,0,100.73,0
1020,0,0.00,0.00,0,100.73,0
1020,0,0.00,0.00,0,100.73,0
1020,0,0.00,0.00,0,100.73,0
1020,0,0.00,0.00,0,100.73,0
1020,0,0.00,0.00,0,100.73,0
1020,0,0.00,0.00,0,100.73,0
1020,0,0.00,0.00,0,100.73,0
1020,0,0.00,0.00,0,100.73,0
1020,0,0.00,0.00,0,100.73,0
1020,0,0.00,0.00,0,100.73,0
1030,0,0.00,0.00,0,100.73,0
1030,0,0.00,0.00,0,100.73,0
1030,0,0.00,0.00,0,100.73,0
1030,0,0.00,0.00,0,100.73,0
1030,0,0.00,0.00,0,100.73,0
1030,0,0.00,0.00,0,100.74,0
1030,0,0.00,0.00,0,100.74,0
1030,0,0.00,0.00,0,100.73,0
1030,0,0.00,0.00,0,100.73,0
1040,0,0.00,0.00,0,100.73,0
1040,0,0.00,0.00,0,100.73,0
1040,0,0.00,0.00,0,100.73,0
1040,0,0.00,0.00,0,100.74,0
1040,0,0.00,0.00,0,100.74,0
1040,0,0.00,0.00,0,100.74,0
1040,0,0.00,0.00,0,100.73,0
1040,0,0.00,0.00,0,100.73,0
1040,0,0.00,0.00,0,100.74,0
1040,0,0.00,0.00,0,100.74,0
1050,0,0.00,0.00,0,100.74,0
1050,0,0.00,0.00,0,100.73,0
1050,0,0.00,0.00,0,100.73,0
1050,0,0.00,0.00,0,100.73,0
1050,0,0.00,0.00,0,100.73,0
1050,0,0.00,0.00,0,100.73,0
1050,0,0.00,0.00,0,100.73,0
1050,0,0.00,0.00,0,100.73,0
1050,0,0.00,0.00,0,100.73,0
1050,0,0.00,0.00,0,100.73,0
1060,0,0.00,0.00,0,100.73,0
1060,0,0.00,0.00,0,100.73,0
1060,0,0.00,0.00,0,100.73,0
1060,0,0.00,0.00,0,100.73,0
1060,0,0.00,0.00,0,100.73,0
1060,0,0.00,0.00,0,100.73,0
1060,0,0.00,0.00,0,100.73,0
1060,0,0.00,0.00,0,100.73,0
1060,0,0.00,0.00,0,100.73,0
1070,0,0.00,0.00,0,100.73,0
1070,0,0.00,0.00,0,100.73,0
1070,0,0.00,0.00,0,100.74,0
1070,0,0.00,0.00,0,100.74,0
1070,0,0.00,0.00,0,100.74,0
1070,0,0.00,0.00,0,100.74,0
1070,0,0.00,0.00,0,100.74,0
1070,0,0.00,0.00,0,100.74,0
1070,0,0.00,0.00,0,100.74,0
1070,0,0.00,0.00,0,100.74,0
1080,0,0.00,0.00,0,100.74,0
1080,0,0.00,0.00,0,100.74,0
1080,0,0.00,0.00,0,100.69,0
1080,0,0.00,0.00,0,100.69,0
1080,0,0.00,0.00,0,100.69,0
1080,0.02206991226,0.22,0.04,82,100.68,1.55
1080,0.02206991226,0.22,0.04,82,100.68,1.55
1080,0.6915096943,6.78,1.38,459,100.66,1.89
1080,0.6915096943,6.78,1.38,459,100.66,1.89
1080,0.6915096943,6.78,1.38,459,100.66,1.89
1090,1.90082535,18.63,3.80,761,100.65,2.05
1090,1.90082535,18.63,3.80,761,100.65,2.05
1090,2.304946975,22.59,4.61,838,100.65,2.16
1090,2.304946975,22.59,4.61,838,100.65,2.16
1090,2.304946975,22.59,4.61,838,100.65,2.16
1090,2.472933012,24.23,4.95,868,100.66,2.12
1090,2.472933012,24.23,4.95,868,100.66,2.12
1090,2.472933012,24.23,4.95,868,100.66,2.12
1090,2.512979859,24.63,5.03,875,100.66,2.08
1100,2.512979859,24.63,5.03,875,100.66,2.08
1100,2.512979859,24.63,5.03,875,100.67,2.08
1100,2.512979859,24.63,5.03,875,100.67,2.08
1100,2.512979859,24.63,5.03,875,100.67,2.08
1100,2.512979859,24.63,5.03,875,100.66,2.08
1100,2.512979859,24.63,5.03,875,100.66,2.08
1100,2.512979859,24.63,5.03,875,100.66,2.08
1100,2.518727095,24.68,5.04,876,100.66,2.08
1100,2.518727095,24.68,5.04,876,100.66,2.08
1100,2.518727095,24.68,5.04,876,100.66,2.08
1110,2.518727095,24.68,5.04,876,100.66,2.08
1110,2.518727095,24.68,5.04,876,100.66,2.08
1110,2.530241261,24.80,5.06,878,100.66,2.08
1110,2.530241261,24.80,5.06,878,100.66,2.08
1110,2.530241261,24.80,5.06,878,100.66,2.08
1110,2.570747625,25.19,5.14,885,100.66,2.22
1110,2.570747625,25.19,5.14,885,100.66,2.22
1110,2.70610472,26.52,5.41,908,100.67,2.29
1110,2.70610472,26.52,5.41,908,100.67,2.29
1120,2.70610472,26.52,5.41,908,100.67,2.29
1120,2.772068288,27.17,5.54,919,100.65,2.31
1120,2.772068288,27.17,5.54,919,100.65,2.31
1120,2.772068288,27.17,5.54,919,100.65,2.31
1120,2.802314308,27.46,5.60,924,100.65,2.37
1120,2.802314308,27.46,5.60,924,100.65,2.37
1120,2.857170709,28.00,5.71,933,100.63,2.54
1120,2.857170709,28.00,5.71,933,100.63,2.54
1120,2.857170709,28.00,5.71,933,100.63,2.54
1120,3.056522017,29.95,6.11,965,100.61,2.59
1130,3.056522017,29.95,6.11,965,100.61,2.59
1130,3.229953322,31.65,6.46,992,100.62,2.62
1130,3.229953322,31.65,6.46,992,100.62,2.62
1130,3.229953322,31.65,6.46,992,100.62,2.62
1130,3.282259408,32.17,6.56,1000,100.6,2.72
1130,3.282259408,32.17,6.56,1000,100.6,2.72
1130,3.421561779,33.53,6.84,1021,100.6,2.78
1130,3.421561779,33.53,6.84,1021,100.6,2.78
1130,3.421561779,33.53,6.84,1021,100.6,2.78
1130,3.468639226,33.99,6.94,1028,100.57,2.78
1140,3.468639226,33.99,6.94,1028,100.57,2.78
1140,3.482149006,34.13,6.96,1030,100.58,2.78
1140,3.482149006,34.13,6.96,1030,100.58,2.78
1140,3.482149006,34.13,6.96,1030,100.58,2.78
1140,3.556922157,34.86,7.11,1041,100.57,2.98
1140,3.556922157,34.86,7.11,1041,100.57,2.98
1140,3.786007452,37.10,7.57,1074,100.57,3.22
1140,3.786007452,37.10,7.57,1074,100.57,3.22
1140,3.786007452,37.10,7.57,1074,100.57,3.22
1150,3.964316195,38.85,7.93,1099,100.55,3.33
1150,3.964316195,38.85,7.93,1099,100.55,3.33
1150,3.964316195,38.85,7.93,1099,100.55,3.33
1150,4.044071816,39.63,8.09,1110,100.55,3.39
1150,4.044071816,39.63,8.09,1110,100.55,3.39
1150,4.139352524,40.57,8.28,1123,100.53,3.67
1150,4.139352524,40.57,8.28,1123,100.53,3.67
1150,4.139352524,40.57,8.28,1123,100.53,3.67
1150,4.363465197,42.76,8.73,1153,100.53,3.68
1150,4.363465197,42.76,8.73,1153,100.53,3.68
1160,4.401391704,43.13,8.80,1158,100.53,3.68
1160,4.401391704,43.13,8.80,1158,100.53,3.68
1160,4.401391704,43.13,8.80,1158,100.53,3.68
1160,4.424226383,43.36,8.85,1161,100.52,3.68
1160,4.424226383,43.36,8.85,1161,100.52,3.68
1160,4.493084903,44.03,8.99,1170,100.52,3.82
1160,4.493084903,44.03,8.99,1170,100.52,3.82
1160,4.493084903,44.03,8.99,1170,100.52,3.82
1160,4.648007547,45.55,9.30,1190,100.52,3.87
1170,4.648007547,45.55,9.30,1190,100.52,3.87
1170,4.718579407,46.24,9.44,1199,100.51,3.93
1170,4.718579407,46.24,9.44,1199,100.51,3.93
1170,4.718579407,46.24,9.44,1199,100.51,3.93
1170,4.91740227,48.19,9.83,1224,100.5,4.03
1170,4.91740227,48.19,9.83,1224,100.5,4.03
1170,5.202647024,50.99,10.41,1259,100.49,4.27
1170,5.202647024,50.99,10.41,1259,100.49,4.27
1170,5.202647024,50.99,10.41,1259,100.49,4.27
1170,5.285622542,51.80,10.57,1269,100.48,4.34
1180,5.285622542,51.80,10.57,1269,100.48,4.34
1180,5.318996556,52.13,10.64,1273,100.47,4.34
1180,5.318996556,52.13,10.64,1273,100.47,4.34
1180,5.318996556,52.13,10.64,1273,100.47,4.34
1180,5.377653813,52.70,10.76,1280,100.46,4.52
1180,5.377653813,52.70,10.76,1280,100.46,4.52
1180,5.615499459,55.03,11.23,1308,100.46,4.66
1180,5.615499459,55.03,11.23,1308,100.46,4.66
1180,5.615499459,55.03,11.23,1308,100.46,4.66
1190,5.710346909,55.96,11.42,1319,100.46,4.74
1190,5.710346909,55.96,11.42,1319,100.46,4.74
1190,5.710346909,55.96,11.42,1319,100.46,4.74
1190,5.771117942,56.56,11.54,1326,100.45,4.77
1190,5.771117942,56.56,11.54,1326,100.45,4.77
1190,5.832210637,57.16,11.66,1333,100.43,5.01
1190,5.832210637,57.16,11.66,1333,100.43,5.01
1190,5.832210637,57.16,11.66,1333,100.43,5.01
1190,6.070867,59.49,12.14,1360,100.42,5.11
1190,6.070867,59.49,12.14,1360,100.42,5.11
1200,6.14249903,60.20,12.28,1368,100.41,5.15
1200,6.14249903,60.20,12.28,1368,100.41,5.15
1200,6.14249903,60.20,12.28,1368,100.41,5.15
