ESC signal (µs),Thrust (kgf),Thrust (N),Norm RPM^2,RPM,Voltage (V),Current (A)
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
1000,0,0.00,0.00,0,0,0
